iter	Passed	Remaining
147	5331	12680
148	5362	12633
149	5393	12584
150	5422	12533
151	5456	12492
152	5487	12445
153	5519	12400
154	5548	12349
155	5579	12304
156	5612	12260
157	5643	12214
158	5673	12168
159	5705	12123
160	5737	12080
161	5768	12034
162	5799	11989
163	5829	11942
164	5858	11894
165	5890	11851
166	5921	11806
167	5951	11760
168	5980	11714
169	6011	11670
170	6042	11625
171	6072	11579
172	6109	11548
173	6141	11505
174	6173	11464
175	6207	11427
176	6239	11385
177	6270	11344
178	6302	11302
179	6334	11261
180	6374	11234
181	6408	11196
182	6440	11156
183	6472	11115
184	6505	11076
185	6535	11032
186	6565	10988
187	6594	10944
188	6624	10900
189	6656	10860
190	6689	10822
191	6721	10782
192	6753	10742
193	6784	10701
194	6815	10660
195	6848	10621
196	6879	10581
197	6911	10541
198	6943	10503
199	6977	10466
200	7012	10431
201	7049	10399
202	7088	10371
203	7130	10345
204	7170	10318
205	7208	10287
206	7245	10255
207	7280	10220
208	7319	10191
209	7355	10157
210	7393	10126
211	7432	10097
212	7475	10072
213	7513	10041
214	7555	10014
215	7594	9985
216	7630	9951
217	7673	9926
218	7710	9893
219	7754	9869
220	7794	9840
221	7833	9808
222	7870	9776
223	7915	9752
224	7952	9719
225	7992	9689
226	8037	9666
227	8088	9649
228	8136	9628
229	8184	9607
230	8228	9581
231	8265	9548
232	8299	9510
233	8342	9483
234	8391	9463
235	8440	9441
236	8490	9421
237	8531	9391
238	8576	9366
239	8627	9346
240	8664	9311
241	8706	9281
242	8758	9263
243	8794	9226
244	8836	9197
245	8880	9169
246	8925	9142
247	8965	9110
248	9007	9079
249	9051	9051
250	9099	9027
251	9146	9001
252	9198	8980
253	9249	8958
254	9298	8933
255	9342	8904
256	9404	8891
257	9461	8874
258	9515	8854
259	9572	8836
260	9628	8816
261	9689	8801
262	9742	8779
263	9801	8762
264	9857	8741
265	9911	8719
266	9967	8697
267	10020	8674
268	10076	8652
269	10132	8631
270	10188	8609
271	10242	8585
272	10302	8566
273	10348	8535
274	10388	8499
275	10441	8474
276	10490	8445
277	10531	8409
278	10571	8373
279	10635	8356
280	10709	8346
281	10786	8338
282	10853	8322
283	10918	8304
284	10988	8289
285	11046	8265
286	11103	8240
287	11168	8221
288	11226	8196
289	11295	8179
290	11363	8161
291	11422	8136
292	11475	8106
293	11535	8082
294	11592	8056
295	11659	8035
296	11720	8011
297	11783	7987
298	11832	7954
299	11893	7928
300	11952	7902
301	12016	7878
302	12073	7849
303	12347	7960
304	12567	8035
305	12668	8031
306	12740	8009
307	12807	7984
308	12871	7956
309	12940	7931
310	13007	7904
311	13061	7870
312	13123	7840
313	13184	7809
314	13243	7777
315	13310	7750
316	13375	7721
317	13445	7695
318	13507	7664
319	13571	7634
320	13639	7605
321	13699	7572
322	13760	7540
323	13824	7509
324	13881	7474
325	13948	7444
326	14013	7413
327	14072	7379
328	14128	7343
329	14188	7309
330	14240	7270
331	14292	7232
332	14347	7195
333	14404	7159
334	14464	7124
335	14515	7085
336	14571	7047
337	14625	7009
338	14672	6968
339	14723	6928
340	14777	6890
341	14836	6854
342	14886	6813
343	14931	6771
344	14979	6729
345	15030	6689
346	15076	6647
347	15121	6604
348	15167	6562
349	15218	6522
350	15266	6480
351	15311	6437
352	15357	6395
353	15401	6352
354	15448	6310
355	15492	6266
356	15531	6221
357	15569	6175
358	15604	6128
359	15639	6082
360	15677	6036
361	15735	5998
362	15783	5956
363	15828	5913
364	15878	5872
365	15930	5832
366	15980	5791
367	16029	5749
368	16078	5708
369	16126	5666
370	16172	5623
371	16215	5579
372	16273	5540
373	16322	5499
374	16369	5456
375	16420	5415
376	16464	5371
377	16519	5331
378	16587	5295
379	16643	5255
380	16692	5213
381	16743	5172
382	16807	5134
383	16876	5098
384	16930	5057
385	16993	5018
386	17067	4983
387	17134	4945
388	17198	4907
389	17256	4867
390	17320	4828
391	17391	4791
392	17455	4752
393	17514	4712
394	17576	4672
395	17646	4634
396	17719	4597
397	17805	4563
398	17865	4522
399	17919	4479
400	17973	4437
401	18031	4395
402	18093	4354
403	18145	4311
404	18196	4268
405	18257	4227
406	18333	4189
407	18399	4148
408	18453	4105
409	18517	4064
410	18573	4022
411	18637	3980
412	18708	3940
413	18769	3898
414	18824	3855
415	18888	3814
416	18953	3772
417	19018	3730
418	19075	3687
419	19128	3643
420	19186	3600
421	19249	3557
422	19315	3515
423	19382	3474
424	19443	3431
425	19509	3388
426	19570	3345
427	19631	3302
428	19697	3259
429	19759	3216
430	19822	3173
431	19882	3129
432	19944	3086
433	20009	3042
434	20074	2999
435	20135	2955
436	20203	2912
437	20261	2868
438	20317	2823
439	20375	2778
440	20433	2733
441	20492	2689
442	20552	2644
443	20612	2599
444	20675	2555
445	20718	2508
446	20754	2460
447	20796	2413
448	20836	2366
449	20878	2319
450	20915	2272
451	20951	2224
452	20994	2178
453	21032	2131
454	21070	2083
455	21111	2037
456	21155	1990
457	21192	1943
458	21230	1896
459	21271	1849
460	21313	1803
461	21353	1756
462	21395	1709
463	21438	1663
464	21477	1616
465	21518	1569
466	21558	1523
467	21599	1476
468	21636	1430
469	21681	1383
470	21719	1337
471	21755	1290
472	21795	1244
473	21838	1197
474	21878	1151
475	21916	1105
476	21957	1058
477	21999	1012
478	22034	966
479	22072	919
480	22120	873
481	22157	827
482	22196	781
483	22232	734
484	22273	688
485	22318	642
486	22366	597
487	22408	551
488	22450	505
489	22494	459
490	22538	413
491	22583	367
492	22628	321
493	22669	275
494	22703	229
495	22744	183
496	22780	137
497	22822	91
498	22862	45
499	22902	0
